"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"14792","Olfr1417",9,2,8,3,1
"14793","Olfr1418",0,0,0,0,0
"14794","Olfr1419",0,0,0,0,0
"14795","Olfr142",0,0,0,0,0
"14796","Olfr1420",0,1,0,0,0
"14797","Olfr1423",0,0,0,0,0
"14798","Olfr1424",0,0,0,0,0
"14799","Olfr1425",0,0,0,0,0
"14800","Olfr1426",0,0,0,1,0
"14801","Olfr1427",0,0,0,0,0
"14802","Olfr1428",0,0,0,0,0
"14803","Olfr143",0,0,0,0,0
"14804","Olfr1431",0,0,0,0,0
"14805","Olfr1433",0,0,0,0,0
"14806","Olfr1434",0,0,0,0,0
"14807","Olfr1436",0,0,0,0,0
"14808","Olfr1437",0,0,0,0,0
"14809","Olfr1440",0,0,0,0,0
"14810","Olfr1441",0,0,0,0,0
"14811","Olfr1442",0,0,0,0,0
"14812","Olfr1443",0,0,0,0,0
"14813","Olfr1444",0,0,0,0,0
"14814","Olfr1445",0,0,0,0,0
"14815","Olfr1446",0,0,0,0,0
"14816","Olfr1447",0,0,0,0,0
"14817","Olfr1448",0,0,0,0,0
"14818","Olfr1449",0,0,0,0,0
"14819","Olfr145",0,0,0,0,0
"14820","Olfr1450",0,0,0,0,0
"14821","Olfr1451",0,0,0,0,0
"14822","Olfr1453",0,0,0,0,0
"14823","Olfr1454",0,0,0,0,0
"14824","Olfr1457",0,0,0,0,0
"14825","Olfr1459",0,0,0,0,0
"14826","Olfr146",0,0,0,0,0
"14827","Olfr1461",0,0,0,0,0
"14828","Olfr1462",0,0,0,0,0
"14829","Olfr1463",0,0,0,0,0
"14830","Olfr1465",0,0,0,0,0
"14831","Olfr1466",0,0,0,0,0
"14832","Olfr1467",0,0,0,0,0
"14833","Olfr1469",0,0,0,0,0
"14834","Olfr147",0,0,0,0,0
"14835","Olfr1471",0,0,0,0,0
"14836","Olfr1472",0,0,0,0,0
"14837","Olfr1474",0,0,0,0,0
"14838","Olfr1475",0,0,0,0,0
"14839","Olfr1477",0,0,0,0,0
"14840","Olfr148",0,0,0,0,0
"14841","Olfr1480",0,0,0,0,0
"14842","Olfr1484",0,0,0,0,0
"14843","Olfr1487",0,0,0,0,0
"14844","Olfr1489",0,0,0,0,0
"14845","Olfr149",0,0,0,0,0
"14846","Olfr1490",0,0,0,0,0
"14847","Olfr1491",0,0,0,0,0
"14848","Olfr1494",0,0,0,0,0
"14849","Olfr1495",0,0,0,0,0
"14850","Olfr1496",0,0,0,0,0
"14851","Olfr1497",0,0,0,0,0
"14852","Olfr1499",0,0,0,0,0
"14853","Olfr15",0,0,0,0,0
"14854","Olfr150",0,0,0,0,0
"14855","Olfr1500",0,0,0,0,0
"14856","Olfr1501",0,0,0,0,0
"14857","Olfr1502",0,0,0,0,0
"14858","Olfr1504",0,0,0,0,0
"14859","Olfr1505",0,0,0,0,0
"14860","Olfr1506",0,0,0,0,0
"14861","Olfr1507",0,0,0,0,0
"14862","Olfr1508",0,0,0,0,0
"14863","Olfr1509",0,0,0,0,0
"14864","Olfr151",0,0,0,0,0
"14865","Olfr1510",0,0,0,0,0
"14866","Olfr1511",0,0,0,0,0
"14867","Olfr1512",0,0,0,0,0
"14868","Olfr1513",0,0,0,0,0
"14869","Olfr152",0,0,0,0,0
"14870","Olfr153",0,0,0,0,0
"14871","Olfr1532-ps1",0,0,0,0,0
"14872","Olfr1535",0,0,0,0,0
"14873","Olfr1537",0,0,0,0,0
"14874","Olfr154",0,0,0,0,0
"14875","Olfr155",0,0,0,0,0
"14876","Olfr156",0,0,0,0,0
"14877","Olfr157",0,0,0,0,0
"14878","Olfr159",0,0,0,0,0
"14879","Olfr16",0,0,0,0,0
"14880","Olfr160",0,0,0,0,0
"14881","Olfr161",0,0,0,0,0
"14882","Olfr164",0,0,0,0,0
"14883","Olfr165",0,0,0,0,0
"14884","Olfr166",0,0,0,0,0
"14885","Olfr167",0,0,0,0,0
"14886","Olfr168",0,0,0,0,0
"14887","Olfr169",0,0,0,0,0
"14888","Olfr17",0,0,0,0,0
"14889","Olfr170",0,0,0,0,0
"14890","Olfr171",0,0,0,0,0
"14891","Olfr172",0,0,0,0,0
"14892","Olfr173",0,0,0,0,0
"14893","Olfr175-ps1",0,0,0,0,0
"14894","Olfr176",0,0,0,0,0
"14895","Olfr177",0,0,0,0,0
"14896","Olfr178",0,0,0,0,0
"14897","Olfr179",0,0,0,0,0
"14898","Olfr18",0,0,0,0,0
"14899","Olfr180",0,0,0,0,0
"14900","Olfr181",0,0,0,0,0
"14901","Olfr183",0,0,0,0,0
"14902","Olfr186",0,0,0,0,0
"14903","Olfr187",0,0,0,0,0
"14904","Olfr19",0,0,0,0,0
"14905","Olfr190",0,0,0,0,0
"14906","Olfr191",0,0,0,0,0
"14907","Olfr192",0,0,0,0,0
"14908","Olfr193",0,0,0,0,0
"14909","Olfr194",0,0,0,0,0
"14910","Olfr195",0,0,0,0,0
"14911","Olfr196",0,0,0,0,0
"14912","Olfr197",0,0,0,0,0
"14913","Olfr198",0,0,0,0,0
"14914","Olfr199",1,0,0,0,0
"14915","Olfr2",0,0,0,0,0
"14916","Olfr20",0,0,0,0,0
"14917","Olfr201",0,0,0,0,0
"14918","Olfr202",0,0,0,0,0
"14919","Olfr203",0,0,0,0,0
"14920","Olfr204",0,0,0,0,0
"14921","Olfr205",0,0,0,0,0
"14922","Olfr206",0,0,0,0,0
"14923","Olfr207",0,0,0,0,0
"14924","Olfr208",0,0,0,0,0
"14925","Olfr209",0,0,0,0,0
"14926","Olfr211",0,0,0,0,0
"14927","Olfr212",0,0,0,0,0
"14928","Olfr213",0,0,0,0,0
"14929","Olfr214",0,0,0,0,0
"14930","Olfr215",0,0,0,0,0
"14931","Olfr218",0,0,0,0,0
"14932","Olfr220",0,0,0,0,0
"14933","Olfr221",1,0,0,0,0
"14934","Olfr222",0,0,0,0,0
"14935","Olfr223",0,0,0,0,0
"14936","Olfr224",0,0,0,0,0
"14937","Olfr225",0,0,0,0,0
"14938","Olfr228",0,0,0,0,0
"14939","Olfr229",0,0,0,0,0
"14940","Olfr23",0,0,0,0,0
"14941","Olfr231",0,0,0,0,0
"14942","Olfr235",0,0,0,0,0
"14943","Olfr237-ps1",0,0,0,0,0
"14944","Olfr239",0,0,0,0,0
"14945","Olfr24",0,0,0,0,0
"14946","Olfr242",0,0,0,0,0
"14947","Olfr243",0,0,0,0,0
"14948","Olfr247",0,0,0,0,0
"14949","Olfr248",0,0,0,0,0
"14950","Olfr25",0,0,0,0,0
"14951","Olfr250",0,0,0,0,0
"14952","Olfr251",0,0,0,0,0
"14953","Olfr257",0,0,0,0,0
"14954","Olfr259",0,0,0,0,0
"14955","Olfr26",0,0,0,0,0
"14956","Olfr262",0,0,0,0,0
"14957","Olfr263",0,0,0,0,0
"14958","Olfr266",0,0,0,0,0
"14959","Olfr267",0,0,0,0,0
"14960","Olfr27",0,0,0,0,0
"14961","Olfr270",0,0,0,0,0
"14962","Olfr272",0,0,0,0,0
"14963","Olfr273",0,0,0,0,0
"14964","Olfr275",0,0,0,0,0
"14965","Olfr279",0,0,0,0,0
"14966","Olfr281",0,0,0,0,0
"14967","Olfr282",0,0,0,0,0
"14968","Olfr283",0,0,0,0,0
"14969","Olfr284",0,0,0,0,0
"14970","Olfr285",0,0,0,0,0
"14971","Olfr286",0,0,0,0,0
"14972","Olfr287",0,0,0,0,0
"14973","Olfr288",0,1,0,0,0
"14974","Olfr29-ps1",0,0,0,0,0
"14975","Olfr290",0,0,0,0,0
"14976","Olfr291",0,0,0,0,0
"14977","Olfr292",0,0,0,0,0
"14978","Olfr293",0,0,0,0,0
"14979","Olfr294",0,0,0,0,0
"14980","Olfr295",0,0,0,0,0
"14981","Olfr297",0,0,0,0,0
"14982","Olfr298",0,0,0,0,0
"14983","Olfr299",0,0,0,0,0
"14984","Olfr3",0,0,0,0,0
"14985","Olfr30",0,0,0,0,0
"14986","Olfr301",0,0,0,0,0
"14987","Olfr303",0,0,0,0,0
"14988","Olfr304",0,0,0,0,0
"14989","Olfr305",0,0,0,0,0
"14990","Olfr307",0,0,0,0,0
"14991","Olfr308",0,0,0,0,0
"14992","Olfr309",0,0,0,0,0
"14993","Olfr31",1,0,1,0,0
"14994","Olfr310",0,0,0,0,0
"14995","Olfr311",0,0,0,0,0
"14996","Olfr312",0,0,0,0,0
"14997","Olfr313",0,0,0,0,0
"14998","Olfr314",0,0,0,0,0
"14999","Olfr315",0,0,0,0,0
"15000","Olfr316",0,0,0,0,0
"15001","Olfr317",0,0,0,0,0
"15002","Olfr318",0,0,0,0,0
"15003","Olfr319",0,0,0,0,0
"15004","Olfr32",0,0,0,0,0
"15005","Olfr320",0,0,0,0,0
"15006","Olfr323",0,0,0,0,0
"15007","Olfr324",0,0,0,0,0
"15008","Olfr325",0,0,0,0,0
"15009","Olfr328",0,0,0,0,0
"15010","Olfr329-ps",0,0,0,0,0
"15011","Olfr33",0,0,0,0,0
"15012","Olfr330",0,0,0,0,0
"15013","Olfr331",0,0,0,0,0
"15014","Olfr332",0,0,0,0,0
"15015","Olfr338",0,0,0,0,0
"15016","Olfr339",0,0,0,0,0
"15017","Olfr340",0,0,0,0,0
"15018","Olfr341",0,0,0,0,0
"15019","Olfr342",0,0,0,0,0
"15020","Olfr344",0,0,0,0,0
"15021","Olfr345",0,0,0,0,0
"15022","Olfr346",0,0,0,0,0
"15023","Olfr347",0,0,0,0,0
"15024","Olfr348",0,0,0,0,0
"15025","Olfr350",0,0,0,0,0
"15026","Olfr351",0,0,0,0,0
"15027","Olfr352",0,0,0,0,0
"15028","Olfr353",0,0,0,0,0
"15029","Olfr354",0,0,0,0,0
"15030","Olfr355",0,0,0,0,0
"15031","Olfr356",0,0,0,0,0
"15032","Olfr357",0,0,0,0,0
"15033","Olfr358",0,0,0,0,0
"15034","Olfr360",0,0,0,0,0
"15035","Olfr361",0,0,0,0,0
"15036","Olfr362",0,0,0,0,0
"15037","Olfr365",0,0,0,0,0
"15038","Olfr366",0,0,0,0,0
"15039","Olfr367-ps",0,0,0,0,0
"15040","Olfr368",0,0,0,0,0
"15041","Olfr370",0,0,0,0,0
"15042","Olfr371",0,0,0,0,0
"15043","Olfr372",0,0,0,0,0
"15044","Olfr373",0,0,0,0,0
"15045","Olfr374",0,0,0,0,0
"15046","Olfr376",0,0,0,0,0
"15047","Olfr378",0,0,0,0,0
"15048","Olfr38",0,0,0,0,0
"15049","Olfr380",0,0,0,0,0
"15050","Olfr381",0,0,0,0,0
"15051","Olfr382",0,0,0,0,0
"15052","Olfr384",0,0,0,0,0
"15053","Olfr385",0,0,0,0,0
"15054","Olfr389",0,0,0,0,0
"15055","Olfr39",0,0,0,0,0
"15056","Olfr390",0,0,0,0,0
"15057","Olfr391-ps",0,0,0,0,0
"15058","Olfr392",0,0,0,0,0
"15059","Olfr393",0,0,0,0,0
"15060","Olfr394",0,0,0,0,0
"15061","Olfr395",0,0,0,0,0
"15062","Olfr397",0,0,0,0,0
"15063","Olfr398",0,0,0,0,0
"15064","Olfr399",0,0,0,0,0
"15065","Olfr401",0,0,0,0,0
"15066","Olfr402",0,0,0,0,0
"15067","Olfr403",0,0,0,0,0
"15068","Olfr406",0,0,0,0,0
"15069","Olfr410",0,0,0,0,0
"15070","Olfr411",0,0,0,0,0
"15071","Olfr412",0,0,0,0,0
"15072","Olfr414",0,0,0,0,0
"15073","Olfr417",0,0,0,0,0
"15074","Olfr418-ps1",0,0,0,0,0
"15075","Olfr419",0,0,0,0,0
"15076","Olfr420",0,0,0,0,0
"15077","Olfr421-ps1",0,0,0,0,0
"15078","Olfr424",0,0,0,0,0
"15079","Olfr426",0,0,0,0,0
"15080","Olfr427",0,0,0,0,0
"15081","Olfr429",0,0,0,0,0
"15082","Olfr43",0,0,0,0,0
"15083","Olfr430",0,0,0,0,0
"15084","Olfr432",0,0,0,0,0
"15085","Olfr433",0,0,0,0,0
"15086","Olfr434",0,0,0,0,0
"15087","Olfr435",0,0,0,0,0
"15088","Olfr437",0,0,0,0,0
"15089","Olfr44",0,0,0,0,0
"15090","Olfr441",0,0,0,0,0
"15091","Olfr444",0,0,0,0,0
"15092","Olfr446",0,0,0,0,0
"15093","Olfr447",0,0,0,0,0
"15094","Olfr448",0,0,0,0,0
"15095","Olfr449",0,0,0,0,0
"15096","Olfr45",0,0,0,0,0
"15097","Olfr450",0,0,0,0,0
"15098","Olfr452",0,0,0,0,0
"15099","Olfr453",0,0,0,0,0
"15100","Olfr455",0,0,0,0,0
"15101","Olfr456",0,0,1,2,0
"15102","Olfr457",0,0,0,0,0
"15103","Olfr458",0,0,0,0,0
"15104","Olfr459",0,0,0,0,0
"15105","Olfr46",0,0,0,0,0
"15106","Olfr460",0,0,0,0,0
"15107","Olfr461",0,0,2,1,0
"15108","Olfr462",0,0,0,0,0
"15109","Olfr463",0,0,0,0,0
"15110","Olfr464",0,0,0,0,0
"15111","Olfr466",0,0,0,0,0
"15112","Olfr467",0,0,0,0,0
"15113","Olfr469",0,0,0,0,0
"15114","Olfr47",0,0,0,0,0
"15115","Olfr470",0,0,0,0,0
"15116","Olfr472",0,0,0,0,0
"15117","Olfr473",0,0,0,0,0
"15118","Olfr474",0,0,0,0,0
"15119","Olfr476",0,0,0,0,0
"15120","Olfr477",0,0,0,0,0
"15121","Olfr478",0,0,0,0,0
"15122","Olfr479",0,0,0,0,0
"15123","Olfr48",0,0,0,0,0
"15124","Olfr480",0,0,0,0,0
"15125","Olfr481",0,0,0,0,0
"15126","Olfr482",0,0,0,0,0
"15127","Olfr483",0,0,0,0,0
"15128","Olfr484",0,0,0,0,0
"15129","Olfr485",0,0,0,0,0
"15130","Olfr486",0,0,0,0,0
"15131","Olfr487",0,0,0,0,0
"15132","Olfr488",0,0,0,0,0
"15133","Olfr49",0,0,2,0,1
"15134","Olfr490",0,0,0,0,0
"15135","Olfr491",0,0,0,0,0
"15136","Olfr492",0,0,0,0,0
"15137","Olfr493",0,0,0,0,0
"15138","Olfr494",0,0,0,0,0
"15139","Olfr495",0,0,0,0,0
"15140","Olfr497",0,0,0,0,0
"15141","Olfr498",0,0,0,0,0
"15142","Olfr5",0,0,0,0,0
"15143","Olfr50",0,0,0,0,0
"15144","Olfr502",0,0,0,0,0
"15145","Olfr503",0,0,0,0,0
"15146","Olfr504",0,0,0,0,0
"15147","Olfr506",0,0,0,0,0
"15148","Olfr507",0,0,0,0,0
"15149","Olfr508",0,0,0,0,0
"15150","Olfr509",0,0,0,0,0
"15151","Olfr51",0,0,0,0,0
"15152","Olfr510",0,0,0,0,0
"15153","Olfr512",0,0,0,0,0
"15154","Olfr513",0,0,0,0,0
"15155","Olfr514",0,0,0,0,0
"15156","Olfr516",0,0,0,0,0
"15157","Olfr517",0,0,0,0,0
"15158","Olfr518",0,0,0,0,0
"15159","Olfr519",0,0,0,0,0
"15160","Olfr52",0,0,0,0,0
"15161","Olfr520",0,0,0,0,0
"15162","Olfr521",0,0,0,0,0
"15163","Olfr522",0,0,0,0,0
"15164","Olfr523",0,0,0,0,0
"15165","Olfr524",0,1,0,0,0
"15166","Olfr525",0,0,0,0,0
"15167","Olfr527",0,0,0,0,0
"15168","Olfr53",0,0,0,1,0
"15169","Olfr530",0,0,0,0,0
"15170","Olfr531",0,0,0,0,0
"15171","Olfr532",0,0,0,0,0
"15172","Olfr533",0,0,0,0,0
"15173","Olfr535",0,0,0,0,0
"15174","Olfr536",0,0,0,0,0
"15175","Olfr538",0,0,0,0,0
"15176","Olfr539",3,5,5,3,1
"15177","Olfr54",0,0,0,0,0
"15178","Olfr541",0,0,0,0,0
"15179","Olfr543",1,0,2,1,1
"15180","Olfr544",0,0,0,0,0
"15181","Olfr545",0,0,0,0,0
"15182","Olfr547",0,0,0,0,0
"15183","Olfr549",0,0,0,0,0
"15184","Olfr55",0,0,0,0,0
"15185","Olfr550",0,0,0,0,0
"15186","Olfr551",0,0,0,0,0
"15187","Olfr552",0,0,0,0,0
"15188","Olfr553",0,0,0,0,0
"15189","Olfr554",0,0,0,0,0
"15190","Olfr555",0,0,0,0,0
"15191","Olfr556",0,0,0,0,0
"15192","Olfr557",0,0,0,0,0
"15193","Olfr558",0,0,0,0,0
"15194","Olfr559",0,0,0,1,0
"15195","Olfr56",0,0,0,0,0
"15196","Olfr560",0,0,0,0,0
"15197","Olfr561",0,0,0,0,0
"15198","Olfr564",0,0,0,0,0
"15199","Olfr566",0,0,0,0,0
"15200","Olfr568",0,0,0,0,0
"15201","Olfr569",0,0,0,0,0
"15202","Olfr57",0,0,0,0,0
"15203","Olfr570",0,0,0,0,0
"15204","Olfr571",0,0,0,0,0
"15205","Olfr572",0,0,0,0,0
"15206","Olfr574",0,0,0,0,0
"15207","Olfr575",0,0,0,2,0
"15208","Olfr576",0,0,0,0,0
"15209","Olfr577",0,0,0,0,0
"15210","Olfr578",0,0,0,0,0
"15211","Olfr58",0,0,0,0,0
"15212","Olfr582",0,0,0,0,0
"15213","Olfr583",0,0,0,0,0
"15214","Olfr584",0,0,0,0,0
"15215","Olfr585",0,0,0,0,0
"15216","Olfr586",0,0,0,0,0
"15217","Olfr589",0,0,0,0,0
"15218","Olfr59",0,0,0,0,0
"15219","Olfr591",0,0,0,0,0
"15220","Olfr592",0,0,0,0,0
"15221","Olfr593",0,0,0,0,0
"15222","Olfr594",0,0,0,0,0
"15223","Olfr596",0,0,0,0,0
"15224","Olfr597",0,0,0,0,0
"15225","Olfr598",0,0,0,0,0
"15226","Olfr599",0,0,0,0,0
"15227","Olfr6",0,0,0,0,0
"15228","Olfr60",0,0,0,0,0
"15229","Olfr600",0,2,0,0,0
"15230","Olfr601",0,0,0,0,0
"15231","Olfr603",0,0,0,0,0
"15232","Olfr605",0,0,0,0,0
"15233","Olfr606",0,0,0,0,0
"15234","Olfr608",0,0,0,0,0
"15235","Olfr609",0,0,0,0,0
"15236","Olfr61",0,0,0,0,0
"15237","Olfr610",0,0,0,0,0
"15238","Olfr611",0,0,0,0,0
"15239","Olfr612",0,0,0,0,0
"15240","Olfr613",0,0,0,0,0
"15241","Olfr615",0,0,0,0,0
"15242","Olfr616",0,0,0,0,0
"15243","Olfr617",0,0,0,0,0
"15244","Olfr618",0,0,0,0,0
"15245","Olfr619",0,0,0,0,0
"15246","Olfr62",0,0,0,0,0
"15247","Olfr620",0,0,0,0,0
"15248","Olfr622",0,0,0,0,0
"15249","Olfr623",0,0,0,0,0
"15250","Olfr624",0,0,0,0,0
"15251","Olfr628",0,0,0,0,0
"15252","Olfr629",0,0,0,0,0
"15253","Olfr63",0,0,0,0,0
"15254","Olfr630",0,0,0,0,0
"15255","Olfr631",0,0,0,0,0
"15256","Olfr632",0,0,0,0,0
"15257","Olfr633",0,0,0,0,0
"15258","Olfr635",0,0,0,0,0
"15259","Olfr638",0,0,0,0,0
"15260","Olfr639",0,0,0,0,0
"15261","Olfr64",0,0,0,0,0
"15262","Olfr640",0,0,0,0,0
"15263","Olfr641",0,0,0,0,0
"15264","Olfr642",0,0,0,0,0
"15265","Olfr643",0,0,0,0,0
"15266","Olfr644",0,0,0,0,0
"15267","Olfr645",0,0,0,0,0
"15268","Olfr646",0,0,0,0,0
"15269","Olfr648",0,0,0,0,0
"15270","Olfr649",0,0,0,0,0
"15271","Olfr65",0,0,0,0,0
"15272","Olfr651",0,0,0,0,0
"15273","Olfr652",0,0,0,0,0
"15274","Olfr653",0,0,0,0,0
"15275","Olfr654",0,0,0,0,0
"15276","Olfr655",0,0,0,0,0
"15277","Olfr656",0,0,0,0,0
"15278","Olfr657",0,0,0,0,0
"15279","Olfr658",0,0,0,0,0
"15280","Olfr659",0,0,0,0,0
"15281","Olfr66",0,0,0,0,0
"15282","Olfr661",0,0,0,0,0
"15283","Olfr663",0,0,0,0,0
"15284","Olfr665",0,0,0,0,0
"15285","Olfr666",0,0,0,0,0
"15286","Olfr667",0,0,0,0,0
"15287","Olfr668",0,0,0,0,0
"15288","Olfr669",0,0,0,0,0
"15289","Olfr67",0,0,0,0,0
"15290","Olfr670",0,0,0,0,0
"15291","Olfr671",0,0,0,0,0
"15292","Olfr672",0,0,0,0,0
"15293","Olfr675",0,0,0,0,0
"15294","Olfr676",0,0,0,0,0
"15295","Olfr677",0,0,0,0,0
"15296","Olfr678",0,0,0,0,0
"15297","Olfr679",0,0,0,0,0
"15298","Olfr68",0,0,0,0,0
"15299","Olfr681",0,0,0,0,0
"15300","Olfr683",0,0,0,0,0
"15301","Olfr684",0,0,0,0,0
"15302","Olfr685",0,0,0,0,0
"15303","Olfr686",0,0,0,0,0
"15304","Olfr688",0,0,0,0,0
"15305","Olfr689",0,0,2,1,0
"15306","Olfr69",0,0,0,0,0
"15307","Olfr690",0,0,0,0,0
"15308","Olfr691",0,0,0,0,0
"15309","Olfr692",1,0,1,1,0
"15310","Olfr693",0,0,0,0,0
"15311","Olfr694",0,0,0,0,0
"15312","Olfr695",0,0,0,0,0
"15313","Olfr697",0,0,0,0,0
"15314","Olfr698",0,0,0,0,0
"15315","Olfr699",0,0,0,0,0
"15316","Olfr70",0,2,1,0,0
"15317","Olfr700",0,0,0,0,0
"15318","Olfr701",0,0,0,0,0
"15319","Olfr702",0,0,0,0,0
"15320","Olfr703",0,0,0,0,0
"15321","Olfr704",0,0,0,0,0
"15322","Olfr705",0,0,0,0,0
"15323","Olfr706",0,0,0,0,0
"15324","Olfr707",0,0,0,0,0
"15325","Olfr71",0,0,1,0,0
"15326","Olfr710",0,0,0,0,0
"15327","Olfr711",0,0,0,0,0
"15328","Olfr713",0,0,0,0,0
"15329","Olfr714",0,0,0,0,0
"15330","Olfr715",0,0,0,0,0
"15331","Olfr716",0,0,0,0,0
"15332","Olfr720",0,0,0,0,0
"15333","Olfr722",0,0,0,0,0
"15334","Olfr723",0,0,0,0,0
"15335","Olfr724",0,0,0,0,0
"15336","Olfr725",0,0,0,0,0
"15337","Olfr726",0,0,0,0,0
"15338","Olfr727",0,0,0,0,0
"15339","Olfr728",0,0,0,0,0
"15340","Olfr729",0,0,0,0,0
"15341","Olfr73",0,0,0,0,0
"15342","Olfr730",0,0,0,0,0
"15343","Olfr731",0,0,0,0,0
"15344","Olfr732",0,0,0,0,0
"15345","Olfr733",0,0,0,0,0
"15346","Olfr734",0,0,0,0,0
"15347","Olfr735",0,0,0,0,0
"15348","Olfr736",0,0,0,0,0
"15349","Olfr738",0,0,0,0,0
"15350","Olfr739",0,0,0,0,0
"15351","Olfr74",0,0,0,0,0
"15352","Olfr740",0,0,0,0,0
"15353","Olfr741",0,0,0,0,0
"15354","Olfr742",0,0,0,0,0
"15355","Olfr743",0,0,0,0,0
"15356","Olfr744",0,0,0,0,0
"15357","Olfr745",0,0,0,0,0
"15358","Olfr746",0,0,0,0,0
"15359","Olfr747",0,0,0,0,0
"15360","Olfr748",0,0,0,0,0
"15361","Olfr749",0,0,0,0,0
"15362","Olfr75-ps1",0,0,0,0,0
"15363","Olfr750",0,0,0,0,0
"15364","Olfr76",0,0,0,0,0
"15365","Olfr761",0,0,0,0,0
"15366","Olfr763",0,0,0,0,0
"15367","Olfr765",0,0,0,0,0
"15368","Olfr767",0,0,0,0,0
"15369","Olfr768",0,0,0,0,0
"15370","Olfr769",0,0,0,0,0
"15371","Olfr77",0,0,0,0,0
"15372","Olfr770",0,0,0,0,0
"15373","Olfr771",0,0,0,0,0
"15374","Olfr772",0,0,0,0,0
"15375","Olfr773",0,0,0,0,0
"15376","Olfr774",0,0,0,0,0
"15377","Olfr775",0,0,0,0,0
"15378","Olfr776",0,0,0,0,0
"15379","Olfr777",0,0,0,0,0
"15380","Olfr78",0,1,1,0,0
"15381","Olfr780",0,0,0,0,0
"15382","Olfr781",0,0,0,0,0
"15383","Olfr782",0,0,0,0,0
"15384","Olfr784",0,0,0,0,0
"15385","Olfr786",0,0,0,0,0
"15386","Olfr787",0,0,0,0,0
"15387","Olfr788",0,0,0,0,0
"15388","Olfr790",0,0,0,0,0
"15389","Olfr791",0,0,0,0,0
"15390","Olfr792",0,0,0,0,0
"15391","Olfr794",0,0,0,0,0
"15392","Olfr796",0,0,0,0,0
"15393","Olfr798",0,0,0,0,0
"15394","Olfr799",0,0,0,0,0
"15395","Olfr8",0,0,0,0,0
"15396","Olfr800",0,0,0,0,0
"15397","Olfr801",0,0,0,0,0
"15398","Olfr802",0,0,0,0,0
"15399","Olfr803",0,0,0,0,0
"15400","Olfr804",0,0,0,0,0
"15401","Olfr805",0,0,0,0,0
"15402","Olfr806",0,0,0,0,0
"15403","Olfr807",0,0,0,0,0
"15404","Olfr808",0,0,0,0,0
"15405","Olfr809",0,0,0,0,0
"15406","Olfr810",0,0,0,0,0
"15407","Olfr811",0,0,0,0,0
"15408","Olfr812",0,0,0,0,0
"15409","Olfr813",0,0,0,0,0
"15410","Olfr814",0,0,0,0,0
"15411","Olfr815",0,0,0,0,0
"15412","Olfr816",0,0,0,0,0
"15413","Olfr818",0,0,0,0,0
"15414","Olfr819",0,0,0,0,0
"15415","Olfr820",0,0,0,0,0
"15416","Olfr821",0,0,0,0,0
"15417","Olfr822",0,0,0,0,0
"15418","Olfr823",0,0,0,0,0
"15419","Olfr824",0,0,0,0,0
"15420","Olfr825",0,0,0,0,0
"15421","Olfr826",0,0,0,0,0
"15422","Olfr827",0,0,0,0,0
"15423","Olfr828",0,0,0,0,0
"15424","Olfr829",0,0,0,0,0
"15425","Olfr830",0,0,0,0,0
"15426","Olfr832",0,0,0,0,0
"15427","Olfr834",0,0,0,0,0
"15428","Olfr835",0,0,0,0,0
"15429","Olfr836",0,0,0,0,0
"15430","Olfr837",0,0,0,0,0
"15431","Olfr843",0,0,0,0,0
"15432","Olfr845",0,0,0,0,0
"15433","Olfr846",0,0,0,0,0
"15434","Olfr847",0,0,0,0,0
"15435","Olfr849",0,0,0,0,0
"15436","Olfr850",0,0,0,0,0
"15437","Olfr851",0,0,0,0,0
"15438","Olfr853",0,0,0,0,0
"15439","Olfr854",0,0,0,0,0
"15440","Olfr855",0,0,0,0,0
"15441","Olfr856-ps1",0,1,3,4,0
"15442","Olfr857",0,0,0,0,0
"15443","Olfr859",0,0,0,0,0
"15444","Olfr860",0,0,0,0,0
"15445","Olfr862",0,0,0,0,0
"15446","Olfr866",0,0,0,0,0
"15447","Olfr867",0,0,0,0,0
"15448","Olfr868",0,0,0,0,0
"15449","Olfr869",0,0,0,0,0
"15450","Olfr870",0,0,0,0,0
"15451","Olfr871",0,0,0,0,0
"15452","Olfr872",0,0,0,0,0
"15453","Olfr873",0,0,0,0,0
"15454","Olfr874",0,0,0,0,0
"15455","Olfr875",0,0,0,0,0
"15456","Olfr876",0,0,0,0,0
"15457","Olfr877",0,0,0,0,0
"15458","Olfr878",0,0,0,0,0
"15459","Olfr881",0,0,0,0,0
"15460","Olfr883",0,0,0,0,0
"15461","Olfr884",0,0,0,0,0
"15462","Olfr885",0,0,0,0,0
"15463","Olfr887",0,0,0,0,0
"15464","Olfr888",0,0,0,0,0
"15465","Olfr889",0,0,0,0,0
"15466","Olfr890",0,0,0,0,0
"15467","Olfr891",0,0,0,0,0
"15468","Olfr893",0,0,0,0,0
"15469","Olfr894",0,0,0,0,0
"15470","Olfr895",0,0,0,0,0
"15471","Olfr898",0,0,0,0,0
"15472","Olfr899",0,0,0,0,0
"15473","Olfr9",0,0,0,0,0
"15474","Olfr90",0,0,0,0,0
"15475","Olfr900",0,0,0,0,0
"15476","Olfr901",0,0,0,0,0
"15477","Olfr902",0,0,0,0,0
"15478","Olfr904",0,0,0,0,0
"15479","Olfr905",0,0,0,0,0
"15480","Olfr906",0,0,0,0,0
"15481","Olfr907",0,0,0,0,0
"15482","Olfr908",0,0,0,0,0
"15483","Olfr91",0,0,0,0,0
