"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"3935","Cass4",4,13,15,10,16
"3936","Cast",0,2,0,0,0
"3937","Casz1",154,184,184,129,176
"3938","Cat",1,1,1,0,0
"3939","Catsper1",0,0,0,0,0
"3940","Catsper2",0,1,1,0,2
"3941","Catsper3",0,0,0,0,0
"3942","Catsper4",0,0,0,0,0
"3943","Catsperb",0,0,0,0,0
"3944","Catsperd",0,0,0,0,0
"3945","Catsperg1",0,0,0,0,0
"3946","Catsperg2",0,0,0,0,0
"3947","Cav1",0,0,0,1,0
"3948","Cav2",0,0,1,0,0
"3949","Cav3",0,0,0,0,0
"3950","Cbfa2t2",0,1,0,0,0
"3951","Cbfa2t3",2,0,4,1,1
"3952","Cbfb",1,0,0,0,0
"3953","Cbl",0,0,0,0,0
"3954","Cblb",2,0,0,2,0
"3955","Cblc",0,1,0,0,0
"3956","Cbll1",0,0,1,0,0
"3957","Cbln1",0,0,0,0,0
"3958","Cbln2",0,0,0,0,0
"3959","Cbln3",0,0,0,0,0
"3960","Cbln4",1,0,0,0,0
"3961","Cbr1",2,2,0,1,2
"3962","Cbr2",0,0,0,0,0
"3963","Cbr3",0,1,0,1,1
"3964","Cbr4",0,0,0,0,2
"3965","Cbs",0,0,0,1,1
"3966","Cbwd1",0,0,0,2,1
"3967","Cbx1",2,4,9,5,5
"3968","Cbx2",0,2,0,0,1
"3969","Cbx3",1,1,2,0,0
"3970","Cbx4",0,2,4,1,1
"3971","Cbx5",9,8,12,10,3
"3972","Cbx6",6,10,6,6,3
"3973","Cbx7",1,4,4,3,0
"3974","Cbx8",0,0,0,0,0
"3975","Cby1",3,3,2,1,1
"3976","Cc2d1a",1,2,1,3,0
"3977","Cc2d1b",4,19,8,10,13
"3978","Cc2d2a",1,1,2,1,0
"3979","Ccar1",2,4,6,1,4
"3980","Ccbe1",3,1,3,4,3
"3981","Ccbl1",0,1,0,0,1
"3982","Ccbl2",0,0,0,0,0
"3983","Ccbp2",0,0,0,0,0
"3984","Ccdc101",8,9,12,7,13
"3985","Ccdc102a",0,0,0,0,0
"3986","Ccdc103",0,0,1,0,2
"3987","Ccdc104",4,17,13,8,5
"3988","Ccdc105",0,0,4,5,1
"3989","Ccdc106",19,26,22,26,24
"3990","Ccdc107",0,0,1,1,0
"3991","Ccdc108",0,2,1,0,1
"3992","Ccdc109b",0,0,0,0,0
"3993","Ccdc11",0,0,0,0,3
"3994","Ccdc110",0,0,0,0,0
"3995","Ccdc111",9,20,18,10,21
"3996","Ccdc112",0,1,0,0,0
"3997","Ccdc113",0,0,1,0,0
"3998","Ccdc114",1,0,1,0,0
"3999","Ccdc115",3,4,5,4,6
"4000","Ccdc116",0,0,0,0,0
"4001","Ccdc117",2,2,9,8,3
"4002","Ccdc12",0,3,1,1,0
"4003","Ccdc120",0,1,1,1,0
"4004","Ccdc121",0,0,0,0,0
"4005","Ccdc122",1,3,1,0,0
"4006","Ccdc124",6,4,6,4,5
"4007","Ccdc125",55,74,85,70,54
"4008","Ccdc126",1,0,1,1,0
"4009","Ccdc127",4,8,13,6,4
"4010","Ccdc129",0,0,0,0,0
"4011","Ccdc13",0,2,11,6,5
"4012","Ccdc130",0,3,0,1,1
"4013","Ccdc132",1,2,3,2,1
"4014","Ccdc134",0,0,0,0,0
"4015","Ccdc135",2,2,1,2,2
"4016","Ccdc136",1,1,5,0,0
"4017","Ccdc137",12,14,12,22,8
"4018","Ccdc138",0,0,0,1,0
"4019","Ccdc14",4,2,4,1,4
"4020","Ccdc141",0,1,0,0,2
"4021","Ccdc142",5,20,28,26,12
"4022","Ccdc144b",4,5,11,3,3
"4023","Ccdc146",1,0,1,0,1
"4024","Ccdc147",0,0,0,0,0
"4025","Ccdc148",1,2,4,2,1
"4026","Ccdc149",5,1,5,3,1
"4027","Ccdc15",0,0,0,0,0
"4028","Ccdc150",0,0,0,0,0
"4029","Ccdc151",2,0,0,1,0
"4030","Ccdc152",9,7,17,8,10
"4031","Ccdc153",0,1,1,0,1
"4032","Ccdc154",0,2,7,2,2
"4033","Ccdc155",1,0,0,0,1
"4034","Ccdc157",25,25,41,30,15
"4035","Ccdc158",0,0,0,0,0
"4036","Ccdc159",31,53,56,56,56
"4037","Ccdc160",0,0,1,0,0
"4038","Ccdc162",1,1,0,0,0
"4039","Ccdc163",0,0,0,0,0
"4040","Ccdc164",1,0,1,0,0
"4041","Ccdc166",0,0,0,1,0
"4042","Ccdc167",609,817,974,743,496
"4043","Ccdc169",0,0,0,0,0
"4044","Ccdc17",53,64,94,67,34
"4045","Ccdc170",0,0,0,0,0
"4046","Ccdc171",0,0,0,0,0
"4047","Ccdc172",0,0,0,0,0
"4048","Ccdc173",0,0,0,0,0
"4049","Ccdc174",0,2,2,2,0
"4050","Ccdc175",124,197,202,231,212
"4051","Ccdc176",93,127,151,138,74
"4052","Ccdc177",3,1,2,1,1
"4053","Ccdc178",0,0,0,0,0
"4054","Ccdc18",0,0,0,0,0
"4055","Ccdc19",0,0,6,2,2
"4056","Ccdc22",0,0,0,1,0
"4057","Ccdc23",0,0,0,0,0
"4058","Ccdc24",12,21,23,24,15
"4059","Ccdc25",4,6,12,10,8
"4060","Ccdc27",4,13,5,15,4
"4061","Ccdc28a",0,0,3,0,0
"4062","Ccdc28b",5,12,4,9,2
"4063","Ccdc3",0,3,3,1,0
"4064","Ccdc30",1,0,2,1,0
"4065","Ccdc32",0,4,0,3,0
"4066","Ccdc33",2,4,1,3,3
"4067","Ccdc34",5,9,10,4,4
"4068","Ccdc36",0,0,0,0,0
"4069","Ccdc37",2,6,6,11,3
"4070","Ccdc38",61,145,111,128,94
"4071","Ccdc39",88,169,168,131,89
"4072","Ccdc40",1,7,5,5,4
"4073","Ccdc41",0,0,2,0,0
"4074","Ccdc42",0,0,0,0,0
"4075","Ccdc42b",4,15,19,17,9
"4076","Ccdc43",1,1,0,2,1
"4077","Ccdc47",6,13,11,12,2
"4078","Ccdc50",0,0,2,0,0
"4079","Ccdc51",1,0,2,3,2
"4080","Ccdc53",0,0,0,0,0
"4081","Ccdc54",0,0,0,0,0
"4082","Ccdc55",9,7,7,5,3
"4083","Ccdc57",1,0,0,1,0
"4084","Ccdc58",3,3,7,2,0
"4085","Ccdc59",0,0,0,0,0
"4086","Ccdc6",0,1,1,1,1
"4087","Ccdc60",1,0,2,0,1
"4088","Ccdc61",0,1,4,3,2
"4089","Ccdc62",0,0,0,0,0
"4090","Ccdc63",0,0,0,0,0
"4091","Ccdc64",1,2,2,0,0
"4092","Ccdc64b",1,1,1,0,0
"4093","Ccdc65",0,0,0,0,0
"4094","Ccdc66",68,81,94,58,30
"4095","Ccdc67",0,1,0,0,0
"4096","Ccdc68",0,0,0,0,0
