"","WT1","WT2","WT3","muMT1","muMT2"
"Zfp451",1094,1420,1833,863,1360
"Gm15455",0,0,3,1,4
"Bend6",2085,2404,2512,1761,2263
"Gm37067",0,1,0,0,0
"Dst",3656,4589,5984,2569,3866
"Gm37354",0,0,0,0,0
"Gm28631",0,0,0,0,0
"Gm23792",0,0,0,0,0
"Gm38157",0,1,0,0,1
"Mir6896",0,0,0,0,0
"Gm26788",4,1,7,2,7
"A930005N03Rik",0,1,3,0,3
"Gm37958",0,0,0,0,0
"Gm37385",0,0,0,0,0
"Gm5266",0,0,0,0,0
"Gm3052",28,35,34,24,36
"Gm37233",31,32,72,15,32
"Mir5103",0,0,0,0,0
"Ccdc115",383,639,733,496,657
"Gm28306",3,2,5,5,2
"Imp4",443,623,714,427,709
"Ptpn18",23,53,51,52,49
"Gm28417",3,3,6,4,2
"4930568A12Rik",0,2,1,1,1
"Prss39",0,0,0,1,0
"Gm28416",0,0,0,0,0
"Cfc1",1,2,0,0,2
"Gm28419",0,0,0,0,0
"Prss40",1,0,2,0,1
"1700101I19Rik",1,1,0,0,1
"Amer3",1010,1410,1785,936,1372
"Gm28418",0,0,0,0,0
"Gm36984",0,0,0,0,0
"Gm29730",0,0,0,0,0
"AA619741",0,0,0,0,0
"Arhgef4",4748,6721,7825,4941,7205
"Gm37224",0,1,0,0,0
"Gm37845",0,0,0,0,0
"Gm38336",66,101,114,56,82
"Fam168b",6381,8240,10588,5528,8383
"Gm37127",2,5,8,4,4
"Plekhb2",4651,5661,6801,3818,5512
"Gm19430",0,0,0,0,0
"Gm37670",1,0,1,0,0
"Gm8009",0,0,0,0,0
"Gm38027",0,0,0,0,0
"Gm25096",0,0,0,0,0
"Gm37068",0,1,1,0,1
"Gm25634",0,0,0,0,0
"Gm28415",0,0,0,0,0
"1110002O04Rik",3,4,5,0,6
"Gm8022",0,0,0,0,0
"Gm37146",0,0,0,0,0
"Gm33222",1,0,0,0,0
"4930535G08Rik",0,0,0,0,0
"Gm38049",0,1,0,0,0
"Hs6st1",962,1335,1548,806,1043
"Gm37335",0,0,0,0,0
"Gm33280",1,3,8,6,3
"Uggt1",842,1149,1252,772,1034
"Mir6897",0,0,0,0,0
"Neurl3",15,34,43,19,31
"Arid5a",184,212,328,167,237
"4930403P22Rik",0,1,0,0,0
"Kansl3",1203,1866,2094,1325,1826
"Mir6898",0,0,0,0,0
"Fer1l5",260,393,497,244,416
"Lman2l",683,1152,1396,829,1349
"Cnnm4",271,356,515,211,382
"Gm37909",0,1,4,0,0
"Gm47280",0,0,0,0,0
"Cnnm3",636,809,1018,571,885
"Gm38033",0,0,0,0,0
"Ankrd23",4,7,12,7,10
"Gm42417",1,0,0,0,0
"Ankrd39",186,253,270,160,236
"Sema4c",242,317,442,213,264
"D430040D24Rik",12,29,21,17,25
"Fam178b",1,7,0,2,1
"Gm6428",0,1,0,0,0
"Gm24133",0,0,0,0,0
"Cox5b",4559,6710,6225,5393,6514
"Actr1b",5530,7804,9002,5736,7858
"4933424G06Rik",6,7,8,3,3
"Gm33533",4,6,4,0,4
"Zap70",67,109,136,74,137
"Gm18828",1,0,1,0,1
"Tmem131",1044,1529,1882,930,1326
"Gm37506",0,0,0,0,0
"Gm38115",0,0,0,0,0
"F830112A20Rik",0,0,0,0,1
"Rpl12-ps1",1,0,1,0,2
"n-R5s210",0,0,0,0,0
"Vwa3b",89,163,205,144,212
"Gm37020",2,1,1,0,2
"Cnga3",3,15,14,6,4
"1700074A21Rik",0,0,0,0,0
"Inpp4a",2547,3219,3969,2055,3045
"4930439A04Rik",0,0,0,0,0
"Gm37135",0,0,0,0,0
"Coa5",1706,2411,2876,1573,2407
"Unc50",829,1248,1342,903,1230
"Mgat4a",678,863,1161,599,927
"4930594C11Rik",0,1,1,0,1
"Gm43213",0,0,0,0,0
"2010300C02Rik",8491,14148,15835,10371,13818
"4930556I23Rik",4,18,9,3,5
"4930470B04Rik",0,0,0,0,0
"Gm19863",0,0,0,0,0
"Tsga10",214,373,442,260,396
"Gm26805",27,36,53,18,30
"Lipt1",98,114,137,88,129
"Mitd1",114,161,166,96,168
"Mrpl30",971,1369,1390,1103,1346
"Lyg2",1,6,15,2,8
"Gm15457",1,0,0,1,0
"Lyg1",0,0,0,0,0
"Gm23409",0,0,0,0,0
"Txndc9",1027,1537,1649,1250,1608
"Eif5b",2402,3889,4112,2838,3627
"Rev1",220,328,431,207,337
"Gm37062",1,1,3,0,1
"Gm5099",0,0,0,0,0
"Aff3",908,1200,1469,778,1205
"Gm16150",8,8,21,5,6
"Gm16151",0,0,0,0,1
"Gm16152",3,3,4,1,2
"Gm34727",0,0,0,0,0
"Gm38135",0,0,0,0,0
"2610300A13Rik",0,0,0,0,0
"Lonrf2",3357,4082,5520,2625,4111
"Chst10",1242,1684,1853,1319,1578
"Gm37707",0,1,0,0,0
"Gm6621",0,0,0,0,1
"Nms",0,2,0,0,1
"Pdcl3",408,711,712,488,633
"Gm37309",2,9,8,3,5
"Gm37821",0,0,0,0,0
"Gm37091",0,0,0,0,0
"Mir6349",0,0,0,0,0
"Npas2",549,571,673,283,394
"Gm20428",0,0,0,0,0
"Gm3617",0,1,0,0,0
"Rpl31",2795,4562,4304,3714,4476
"Tbc1d8",252,320,412,180,236
"Gm37265",0,0,0,0,0
"Gm24826",0,0,0,0,0
"Cnot11",715,1076,1179,755,977
"Gm15832",12,21,27,14,26
"Snord89",0,2,7,2,1
"Rnf149",463,560,691,381,597
"Gm23722",0,0,0,0,0
"Gm5100",0,0,2,0,2
"Creg2",3344,4467,6219,3386,5439
"D930019O06Rik",49,67,118,58,78
"Rfx8",10,9,18,9,5
"Gm3646",0,0,0,0,1
"1700066B17Rik",0,0,0,1,0
"Map4k4",1828,2865,3408,1844,2792
"4930456G14Rik",22,14,26,10,20
"Il1r2",3,2,8,3,3
"Gm16894",10,11,22,8,10
"Gm37347",0,0,0,0,0
"Il1r1",213,360,507,229,369
"Gm38070",0,1,1,0,0
"Il1rl2",16,20,23,9,17
"Gm17970",0,0,0,0,0
"Il1rl1",3,6,7,6,2
"Il18r1",2,0,2,0,0
"Il18rap",3,2,3,0,2
"Gm35801",0,0,0,0,0
"Slc9a4",247,347,533,183,449
"Gm37435",1,0,0,1,0
"Slc9a2",402,588,740,327,678
"Gm37623",1,0,0,0,0
"Gm37915",1,6,10,4,6
"Mfsd9",34,32,58,12,28
"Tmem182",3,1,2,7,0
"Gm5973",0,0,0,0,0
"4930448I06Rik",0,0,0,0,0
"Gm28634",0,0,0,0,0
"Gm29260",1,1,0,0,2
"Gm5267",0,0,0,0,0
"Gm8176",0,0,0,0,0
"Gm9915",0,1,0,0,0
"Gm29664",0,0,0,0,0
"Gm28175",22,36,25,15,23
"Gm28140",0,0,0,0,0
