"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Mef2d",18320,18109,19459,18615,18590
"Tmem79",50,57,62,51,65
"Snd1",8357,7157,8512,7250,8108
"Col18a1",431,764,314,282,413
"Slc19a1",890,1229,771,817,848
"Kpnb1",19059,17412,19722,17706,19781
"Npepps",15439,13870,16455,13856,14514
"Tbx21",5,6,6,10,11
"Mrpl10",2457,2467,2828,2497,2632
"Cyp51",4820,4545,4994,4338,3839
"Tcf25",28322,26882,31374,28580,27102
"Tubb6",26,47,36,32,160
"Def8",3080,2864,3296,3138,2973
"Meox1",33,39,38,37,54
"Sost",8,6,6,4,2
"Nkx2-1",47,45,32,34,34
"Pax9",0,3,0,0,0
"Irx2",2,12,7,11,6
"Col1a1",345,1125,896,614,989
"Itga3",1438,1813,1581,1366,1234
"Sgca",8,15,14,20,13
"Dlx3",4,10,8,5,4
"Foxm1",131,117,115,134,140
"Itfg2",1066,990,1062,987,924
"Nrip2",1162,1028,1193,1003,1015
"Tulp3",2084,1978,1892,2052,2024
"Gtf2h4",765,724,852,824,797
"Tubb5",19179,19317,22152,19168,18933
"Ell2",2714,2261,2979,3104,2448
"Jup",2023,2145,2429,2107,2056
"Fkbp10",336,466,416,449,374
"Klhl10",22,18,17,21,21
"Mnx1",0,0,0,0,0
"Nom1",2959,2936,3229,3144,2996
"Ergic1",6213,6045,6740,5960,5823
"Tnk1",6,6,4,3,4
"Acap1",2,5,5,4,24
"Tcea3",67,172,60,32,51
"Csn3",0,0,0,0,0
"Ifrd1",3179,3123,3373,3546,3126
"Stk38l",2946,2940,3018,3060,2799
"Brpf1",3629,3197,3494,3616,3628
"Akr1b3",1499,1556,1704,1579,1676
"Hoxc13",0,0,0,0,0
"Hoxc11",0,0,0,0,0
"Hoxc8",0,0,0,0,0
"Hoxc6",1,0,0,0,0
"Gstt1",336,417,378,346,353
"Gstt3",119,162,78,99,98
"Ddt",387,409,405,381,410
"Tat",20,14,8,6,6
"Marveld3",57,59,16,17,5
"Ddx18",1623,1505,1637,1496,1795
"Ubl3",11850,11090,12096,10841,11453
"Gramd3",1289,1339,1412,1134,1411
"Eef1e1",1296,1279,1519,1219,1304
"Akt1",8247,8053,8847,8259,8351
"Cldn15",11,11,18,17,10
"Il16",3956,3140,3192,2901,3918
"Tcirg1",669,781,792,768,1270
"Naglu",593,615,520,507,810
"Coasy",1404,1358,1445,1208,1259
"Smo",1530,1726,1532,1296,1526
"Tspan33",2328,2337,2021,1489,1911
"Crnkl1",2437,2112,2521,2325,2402
"Rin2",3786,2798,3182,3344,3192
"Folh1",1084,815,1059,962,980
"Chordc1",6922,5202,7273,5386,6629
"Rtcb",5717,5253,6088,5433,5904
"Pwp1",1682,1601,1701,1558,1684
"Fbxo7",2068,2014,2249,2125,1953
"Capns1",5772,5979,6503,5275,6523
"Lrp3",4497,4610,5095,4778,4258
"Dsg4",0,0,0,0,0
"Evx2",0,2,0,0,0
"Hoxd13",0,0,0,0,2
"Hoxd12",0,0,0,0,0
"Folr1",1338,1817,29,19,106
"Clpb",3838,3571,4557,3754,3936
"Sept7",30396,26159,34313,31141,28680
"Zdhhc4",1146,1237,1312,1230,1167
"Rac1",18577,18486,18777,17334,18430
"Nup214",4578,4768,5242,4914,4634
"Aif1l",550,602,488,449,456
"Cpa3",2,17,7,15,12
"Ltbp1",927,921,904,1042,1006
"Ugp2",7307,7130,7510,6885,7593
"Kcnh6",136,146,200,195,192
"Trmt1",3613,3394,3870,3857,3442
"Nacc1",8435,8597,9348,8380,8512
"Nfix",29472,30184,30750,29748,27605
"Slc1a5",85,149,103,93,181
"Uba1",25277,24231,27228,23735,24902
"Vwf",674,1084,1204,1115,884
"Siae",1166,1121,1196,1111,1317
"Vsig2",67,73,58,69,31
"Esam",443,471,535,508,312
"Spa17",110,157,137,96,107
"Fam50a",1271,1289,1290,1372,1223
"Emd",1201,1218,1354,1241,1332
"Taco1",850,687,802,693,811
"Grik3",4891,5059,7235,6048,4856
"Gria3",26064,22886,28683,26774,25905
"Npas1",676,613,725,716,670
"Sipa1l2",7845,6961,7239,7163,7843
"Ap4e1",2330,2262,2558,2529,2420
"Blvra",712,704,704,680,665
"Pdzd4",8415,8360,9879,8745,8746
